ID,order,rate,Label,isend,ibend,eta,m1,m2,m3,gamma1,gamma2,phi1,phi2,phi3,papr
0,QPSK,1/4 ,DVB-S2 QPSK 1/4 ,-2.35,0.75,0.490243,4,0,0,0,0,45,0,0,
1,QPSK,1/3 ,DVB-S2 QPSK 1/3 ,-1.24,0.59,0.656448,4,0,0,0,0,45,0,0,
2,QPSK,2/5 ,DVB-S2 QPSK 2/5 ,-0.30,0.73,0.789412,4,0,0,0,0,45,0,0,
3,QPSK,1/2 ,DVB-S2 QPSK 1/2 ,1.00,1.05,0.988858,4,0,0,0,0,45,0,0,
4,QPSK,3/5 ,DVB-S2 QPSK 3/5 ,2.23,1.48,1.1883040,4,0,0,0,0,45,0,0,
5,QPSK,2/3 ,DVB-S2 QPSK 2/3 ,3.10,1.89,1.3222530,4,0,0,0,0,45,0,0,
6,QPSK,3/4 ,DVB-S2 QPSK 3/4 ,4.03,2.31,1.4874730,4,0,0,0,0,45,0,0,
7,QPSK,4/5 ,DVB-S2 QPSK 4/5 ,4.68,2.67,1.5871960,4,0,0,0,0,45,0,0,
8,QPSK,5/6 ,DVB-S2 QPSK 5/6 ,5.18,2.99,1.6546630,4,0,0,0,0,45,0,0,
9,QPSK,8/9 ,DVB-S2 QPSK 8/9 ,6.20,3.73,1.7664510,4,0,0,0,0,45,0,0,
10,QPSK,9/10 ,DVB-S2 QPSK 9/10 ,6.42,3.89,1.7886120,4,0,0,0,0,45,0,0,
11,8PSK,3/5 ,DVB-S2 8PSK 3/5 ,5.50,3.00,1.7799910,8,0,0,0,0,45,0,0,
12,8PSK,2/3 ,DVB-S2 8PSK 2/3 ,6.62,3.65,1.9806360,8,0,0,0,0,45,0,0,
13,8PSK,3/4 ,DVB-S2 8PSK 3/4 ,7.91,4.43,2.2281240,8,0,0,0,0,45,0,0,
14,8PSK,5/6 ,DVB-S2 8PSK 5/6 ,9.35,5.41,2.4785620,8,0,0,0,0,45,0,0,
15,8PSK,8/9 ,DVB-S2 8PSK 8/9 ,10.69,6.46,2.6460120,8,0,0,0,0,45,0,0,
16,8PSK,9/10 ,DVB-S2 8PSK 9/10 ,10.98,6.70,2.6792070,8,0,0,0,0,45,0,0,
17,16APSK,2/3 ,DVB-S2 16APSK 2/3 ,8.97,4.76,2.6372010,4,12,0,3.15,0.00,45,15,0,
18,16APSK,3/4 ,DVB-S2 16APSK 3/4 ,10.21,5.49,2.9667280,4,12,0,2.85,0.00,45,15,0,
19,16APSK,4/5 ,DVB-S2 16APSK 4/5 ,11.03,6.03,3.1656230,4,12,0,2.75,0.00,45,15,0,
20,16APSK,5/6 ,DVB-S2 16APSK 5/6 ,11.61,6.42,3.3001840,4,12,0,2.70,0.00,45,15,0,
21,16APSK,8/9 ,DVB-S2 16APSK 8/9 ,12.89,7.42,3.5231430,4,12,0,2.60,0.00,45,15,0,
22,16APSK,9/10 ,DVB-S2 16APSK 9/10 ,13.13,7.61,3.5673420,4,12,0,2.57,0.00,45,15,0,
23,32APSK,3/4 ,DVB-S2 32APSK 3/4 ,12.73,7.04,3.7032950,4,12,16,2.84,5.27,45,15,22.5,
24,32APSK,4/5 ,DVB-S2 32APSK 4/5 ,13.64,7.67,3.9515710,4,12,16,2.72,4.87,45,15,22.5,
25,32APSK,5/6 ,DVB-S2 32APSK 5/6 ,14.28,8.13,4.1195400,4,12,16,2.64,4.64,45,15,22.5,
26,32APSK,8/9 ,DVB-S2 32APSK 8/9 ,15.69,9.26,4.3978540,4,12,16,2.54,4.33,45,15,22.5,
27,32APSK,9/10 ,DVB-S2 32APSK 9/10 ,16.05,9.56,4.4530270,4,12,16,2.53,4.30,45,15,22.5,
